source,target,weight
AF,ES,12.0
AF,IS,1.0
AF,PL,2.0
AL,AT,28.0
AL,BE,2.0
AL,BG,22.0
AL,CZ,26.0
AL,DE,114.0
AL,EE,5.0
AL,EL,11.0
AL,ES,22.0
AL,FI,7.0
AL,FR,44.0
AL,HR,8.0
AL,HU,20.0
AL,IT,272.0
AL,LT,8.0
AL,LU,16.0
AL,LV,16.0
AL,NL,5.0
AL,NO,27.0
AL,PL,72.0
AL,PT,23.0
AL,RO,30.0
AL,SE,31.0
AL,SI,6.0
AL,SK,8.0
AL,TR,25.0
AL,UK,17.0
AM,AT,26.0
AM,BE,33.0
AM,BG,10.0
AM,CY,4.0
AM,CZ,19.0
AM,DE,38.0
AM,DK,1.0
AM,EE,12.0
AM,EL,4.0
AM,ES,35.0
AM,FI,8.0
AM,FR,114.0
AM,HR,8.0
AM,HU,20.0
AM,IT,101.0
AM,LT,8.0
AM,LV,1.0
AM,NL,8.0
AM,NO,3.0
AM,PL,43.0
AM,PT,47.0
AM,RO,7.0
AM,SE,8.0
AM,SK,1.0
AM,TR,2.0
AM,UK,6.0
AO,HU,1.0
AR,AT,2.0
AR,BE,2.0
AR,CY,1.0
AR,DE,3.0
AR,EE,1.0
AR,EL,5.0
AR,ES,5.0
AR,FR,41.0
AR,HU,8.0
AR,IT,30.0
AR,NO,1.0
AR,PL,1.0
AR,RO,1.0
AR,SI,2.0
AR,SK,2.0
AR,TR,2.0
AR,UK,5.0
AT,AL,1.0
AT,AM,2.0
AT,AR,2.0
AT,AU,11.0
AT,BA,14.0
AT,BE,392.0
AT,BG,28.0
AT,BR,6.0
AT,BT,2.0
AT,BY,3.0
AT,CA,15.0
AT,CL,9.0
AT,CN,17.0
AT,CO,3.0
AT,CR,2.0
AT,CU,8.0
AT,CY,23.0
AT,CZ,244.0
AT,DE,2854.0
AT,DK,430.0
AT,EE,70.0
AT,EL,144.0
AT,ES,1199.0
AT,ET,1.0
AT,FI,393.0
AT,FR,895.0
AT,GE,23.0
AT,GH,3.0
AT,HK,1.0
AT,HR,95.0
AT,HU,144.0
AT,ID,5.0
AT,IE,229.0
AT,IL,63.0
AT,IN,5.0
AT,IR,3.0
AT,IS,67.0
AT,IT,1128.0
AT,JP,4.0
AT,KG,3.0
AT,KH,1.0
AT,KR,9.0
AT,KZ,9.0
AT,LI,26.0
AT,LK,3.0
AT,LT,77.0
AT,LU,23.0
AT,LV,57.0
AT,MK,1.0
AT,MM,2.0
AT,MN,2.0
AT,MT,19.0
AT,NL,618.0
AT,NO,430.0
AT,NP,5.0
AT,NZ,5.0
AT,PL,211.0
AT,PS,1.0
AT,PT,381.0
AT,RO,63.0
AT,RS,29.0
AT,RU,86.0
AT,SE,811.0
AT,SI,159.0
AT,SK,86.0
AT,TH,9.0
AT,TJ,2.0
AT,TR,108.0
AT,TT,5.0
AT,TW,6.0
AT,TZ,4.0
AT,UA,9.0
AT,UG,7.0
AT,UK,781.0
AT,US,14.0
AT,UY,2.0
AT,UZ,3.0
AT,XK,1.0
AT,ZA,9.0
AU,AT,7.0
AU,BE,4.0
AU,BG,1.0
AU,CY,2.0
AU,CZ,1.0
AU,DE,20.0
AU,DK,2.0
AU,EE,2.0
AU,EL,1.0
AU,ES,13.0
AU,HR,3.0
AU,IE,1.0
AU,IT,6.0
AU,LT,4.0
AU,NL,30.0
AU,NO,4.0
AU,PL,7.0
AU,PT,1.0
AU,RO,1.0
AU,SE,1.0
AU,SI,3.0
AU,UK,1.0
AZ,BG,1.0
AZ,CZ,6.0
AZ,DE,7.0
AZ,EE,2.0
AZ,EL,1.0
AZ,ES,6.0
AZ,FR,4.0
AZ,HR,3.0
AZ,HU,2.0
AZ,IT,25.0
AZ,LT,4.0
AZ,PL,27.0
AZ,PT,6.0
AZ,RO,10.0
AZ,SI,9.0
AZ,SK,7.0
AZ,TR,23.0
AZ,UK,5.0
BA,AT,37.0
BA,BE,10.0
BA,BG,4.0
BA,CZ,51.0
BA,DE,133.0
BA,DK,4.0
BA,EL,2.0
BA,ES,57.0
BA,FI,2.0
BA,FR,86.0
